backbone,seed,snr,n,bayes,probe,readout,hard,T1_plus_T2,T3_probe,T3_readout
petcgdnn,2027,-12,1050,22.64,17.43,20.48,22.0,5.21,-4.57,-1.52
petcgdnn,2027,-10,1050,26.95,18.57,23.14,22.86,8.38,-4.29,0.29
petcgdnn,2027,-8,1050,33.58,25.14,31.9,30.1,8.44,-4.95,1.81
petcgdnn,2027,-6,1050,42.7,32.95,36.86,39.05,9.75,-6.1,-2.19
petcgdnn,2027,-4,1050,52.48,42.0,45.33,45.05,10.48,-3.05,0.29
petcgdnn,2027,-2,1050,60.67,51.24,53.62,54.0,9.43,-2.76,-0.38
petcgdnn,2027,0,1050,67.6,53.71,61.81,61.14,13.89,-7.43,0.67
petcgdnn,2027,2,1050,76.17,62.48,65.62,65.24,13.69,-2.76,0.38
petcgdnn,2027,4,1050,84.82,72.86,74.19,74.38,11.96,-1.52,-0.19
petcgdnn,2027,6,1050,89.15,81.71,83.33,83.81,7.43,-2.1,-0.48
petcgdnn,2027,8,1050,91.46,86.1,87.33,87.43,5.36,-1.33,-0.1
petcgdnn,2027,10,1050,96.14,86.76,87.52,85.81,9.38,0.95,1.71
petcgdnn,2027,12,1050,99.57,87.62,87.52,86.86,11.95,0.76,0.67
petcgdnn,2027,14,1050,99.86,86.76,89.14,88.29,13.1,-1.52,0.86
petcgdnn,2027,16,1050,99.95,88.48,89.43,89.24,11.48,-0.76,0.19
petcgdnn,2027,18,1050,100.0,88.48,88.76,89.14,11.52,-0.67,-0.38
petcgdnn,2028,-20,1050,15.57,16.38,14.38,14.1,-0.82,2.29,0.29
petcgdnn,2028,-18,1050,16.42,14.86,15.81,15.24,1.56,-0.38,0.57
petcgdnn,2028,-16,1050,17.63,15.52,14.76,16.29,2.11,-0.76,-1.52
petcgdnn,2028,-14,1050,19.5,16.38,18.48,18.86,3.12,-2.48,-0.38
petcgdnn,2028,-12,1050,22.64,16.48,21.62,22.38,6.16,-5.9,-0.76
petcgdnn,2028,-10,1050,26.95,18.76,22.76,23.14,8.18,-4.38,-0.38
petcgdnn,2028,-8,1050,33.58,27.24,30.95,30.38,6.34,-3.14,0.57
petcgdnn,2028,-6,1050,42.7,35.43,37.43,35.81,7.27,-0.38,1.62
petcgdnn,2028,-4,1050,52.48,41.43,44.86,46.48,11.05,-5.05,-1.62
petcgdnn,2028,-2,1050,60.67,51.62,53.62,56.57,9.05,-4.95,-2.95
petcgdnn,2028,0,1050,67.6,57.43,60.67,60.0,10.18,-2.57,0.67
petcgdnn,2028,2,1050,76.17,66.57,66.86,67.71,9.6,-1.14,-0.86
petcgdnn,2028,4,1050,84.82,77.05,76.95,76.67,7.77,0.38,0.29
petcgdnn,2028,6,1050,89.15,82.38,82.48,84.0,6.77,-1.62,-1.52
petcgdnn,2028,8,1050,91.46,87.43,85.33,87.05,4.03,0.38,-1.71
petcgdnn,2028,10,1050,96.14,86.67,85.9,86.48,9.48,0.19,-0.57
petcgdnn,2028,12,1050,99.57,87.81,87.43,87.52,11.76,0.29,-0.1
petcgdnn,2028,14,1050,99.86,88.0,88.0,88.86,11.86,-0.86,-0.86
petcgdnn,2028,16,1050,99.95,89.14,89.33,88.57,10.81,0.57,0.76
petcgdnn,2028,18,1050,100.0,90.48,89.24,89.24,9.52,1.24,0.0
mcformer,2026,-20,1050,15.57,14.19,13.33,16.76,1.37,-2.57,-3.43
mcformer,2026,-18,1050,16.42,14.76,13.24,17.24,1.66,-2.48,-4.0
mcformer,2026,-16,1050,17.63,16.48,18.86,16.1,1.15,0.38,2.76
mcformer,2026,-14,1050,19.5,16.95,18.95,18.76,2.54,-1.81,0.19
mcformer,2026,-12,1050,22.64,17.62,21.81,22.76,5.02,-5.14,-0.95
mcformer,2026,-10,1050,26.95,18.1,23.43,25.14,8.85,-7.05,-1.71
mcformer,2026,-8,1050,33.58,24.57,30.38,29.71,9.01,-5.14,0.67
mcformer,2026,-6,1050,42.7,33.71,38.76,37.05,8.99,-3.33,1.71
mcformer,2026,-4,1050,52.48,40.76,44.0,43.24,11.72,-2.48,0.76
mcformer,2026,-2,1050,60.67,48.1,49.05,47.71,12.57,0.38,1.33
mcformer,2026,0,1050,67.6,48.67,50.38,49.71,18.94,-1.05,0.67
mcformer,2026,2,1050,76.17,52.38,52.95,54.38,23.79,-2.0,-1.43
mcformer,2026,4,1050,84.82,53.9,55.62,55.43,30.91,-1.52,0.19
mcformer,2026,6,1050,89.15,54.76,55.71,56.95,34.39,-2.19,-1.24
mcformer,2026,8,1050,91.46,56.48,58.1,58.29,34.98,-1.81,-0.19
mcformer,2026,10,1050,96.14,56.57,56.57,57.33,39.57,-0.76,-0.76
mcformer,2026,12,1050,99.57,57.14,58.67,57.9,42.43,-0.76,0.76
mcformer,2026,14,1050,99.86,58.0,58.67,58.48,41.86,-0.48,0.19
mcformer,2026,16,1050,99.95,57.43,57.71,59.24,42.52,-1.81,-1.52
mcformer,2026,18,1050,100.0,57.62,59.62,58.57,42.38,-0.95,1.05
mcformer,2027,-20,1050,15.57,16.86,14.57,15.71,-1.29,1.14,-1.14
mcformer,2027,-18,1050,16.42,16.1,15.14,14.76,0.32,1.33,0.38
mcformer,2027,-16,1050,17.63,16.0,16.48,16.29,1.63,-0.29,0.19
mcformer,2027,-14,1050,19.5,14.95,17.24,17.24,4.54,-2.29,0.0
mcformer,2027,-12,1050,22.64,17.05,19.81,21.52,5.59,-4.48,-1.71
mcformer,2027,-10,1050,26.95,20.29,23.24,24.19,6.66,-3.9,-0.95
mcformer,2027,-8,1050,33.58,25.52,32.1,30.38,8.06,-4.86,1.71
mcformer,2027,-6,1050,42.7,34.0,36.95,37.71,8.7,-3.71,-0.76
mcformer,2027,-4,1050,52.48,42.67,43.71,44.95,9.81,-2.29,-1.24
mcformer,2027,-2,1050,60.67,46.57,49.24,50.1,14.1,-3.52,-0.86
mcformer,2027,0,1050,67.6,49.14,52.76,52.29,18.46,-3.14,0.48
mcformer,2027,2,1050,76.17,52.57,53.9,54.38,23.6,-1.81,-0.48
mcformer,2027,4,1050,84.82,54.86,55.14,55.71,29.96,-0.86,-0.57
mcformer,2027,6,1050,89.15,56.0,58.57,58.86,33.15,-2.86,-0.29
mcformer,2027,8,1050,91.46,57.33,57.43,57.33,34.12,0.0,0.1
mcformer,2027,10,1050,96.14,57.05,57.05,58.19,39.1,-1.14,-1.14
mcformer,2027,12,1050,99.57,58.19,58.0,57.9,41.38,0.29,0.1
mcformer,2027,14,1050,99.86,59.43,56.1,58.0,40.43,1.43,-1.9
mcformer,2027,16,1050,99.95,58.67,59.52,59.81,41.29,-1.14,-0.29
mcformer,2027,18,1050,100.0,59.05,57.71,59.05,40.95,0.0,-1.33
mcformer,2028,-20,1050,15.57,12.95,15.05,14.86,2.61,-1.9,0.19
mcformer,2028,-18,1050,16.42,15.71,16.76,16.38,0.7,-0.67,0.38
mcformer,2028,-16,1050,17.63,15.81,15.71,16.1,1.82,-0.29,-0.38
mcformer,2028,-14,1050,19.5,14.29,17.24,17.62,5.21,-3.33,-0.38
mcformer,2028,-12,1050,22.64,17.52,20.86,20.95,5.12,-3.43,-0.1
mcformer,2028,-10,1050,26.95,22.86,23.05,24.48,4.09,-1.62,-1.43
mcformer,2028,-8,1050,33.58,27.62,30.95,31.14,5.96,-3.52,-0.19
mcformer,2028,-6,1050,42.7,32.57,37.24,36.48,10.13,-3.9,0.76
mcformer,2028,-4,1050,52.48,41.05,45.62,45.24,11.43,-4.19,0.38
mcformer,2028,-2,1050,60.67,46.29,47.62,47.14,14.38,-0.86,0.48
mcformer,2028,0,1050,67.6,49.62,53.14,52.67,17.98,-3.05,0.48
mcformer,2028,2,1050,76.17,54.19,54.86,53.9,21.98,0.29,0.95
mcformer,2028,4,1050,84.82,55.52,56.38,55.81,29.29,-0.29,0.57
mcformer,2028,6,1050,89.15,55.9,56.57,56.48,33.24,-0.57,0.1
mcformer,2028,8,1050,91.46,56.0,58.95,56.0,35.46,0.0,2.95
mcformer,2028,10,1050,96.14,58.29,58.76,57.81,37.86,0.48,0.95
mcformer,2028,12,1050,99.57,57.14,57.71,57.43,42.43,-0.29,0.29
mcformer,2028,14,1050,99.86,57.52,57.9,58.57,42.33,-1.05,-0.67
mcformer,2028,16,1050,99.95,58.19,59.24,57.52,41.76,0.67,1.71
mcformer,2028,18,1050,100.0,57.9,58.0,58.95,42.1,-1.05,-0.95
cgdnet,2026,-20,1050,15.57,15.24,14.48,14.67,0.33,0.57,-0.19
cgdnet,2026,-18,1050,16.42,16.57,17.24,16.86,-0.15,-0.29,0.38
cgdnet,2026,-16,1050,17.63,15.24,16.48,16.57,2.39,-1.33,-0.1
cgdnet,2026,-14,1050,19.5,16.67,18.57,18.19,2.83,-1.52,0.38
cgdnet,2026,-12,1050,22.64,16.38,21.52,20.95,6.26,-4.57,0.57
cgdnet,2026,-10,1050,26.95,20.19,24.1,24.86,6.76,-4.67,-0.76
cgdnet,2026,-8,1050,33.58,25.14,30.38,30.76,8.44,-5.62,-0.38
cgdnet,2026,-6,1050,42.7,32.95,36.48,38.1,9.75,-5.14,-1.62
cgdnet,2026,-4,1050,52.48,43.71,45.14,42.19,8.77,1.52,2.95
cgdnet,2026,-2,1050,60.67,49.52,49.62,45.71,11.14,3.81,3.9
cgdnet,2026,0,1050,67.6,52.57,54.48,48.57,15.03,4.0,5.9
cgdnet,2026,2,1050,76.17,62.57,61.62,53.43,13.6,9.14,8.19
cgdnet,2026,4,1050,84.82,68.95,69.33,59.62,15.87,9.33,9.71
cgdnet,2026,6,1050,89.15,77.14,76.76,68.38,12.0,8.76,8.38
cgdnet,2026,8,1050,91.46,82.1,81.14,73.81,9.36,8.29,7.33
cgdnet,2026,10,1050,96.14,85.14,85.71,79.14,11.0,6.0,6.57
cgdnet,2026,12,1050,99.57,87.33,87.62,83.43,12.24,3.9,4.19
cgdnet,2026,14,1050,99.86,87.33,87.43,84.29,12.52,3.05,3.14
cgdnet,2026,16,1050,99.95,88.38,88.19,85.43,11.57,2.95,2.76
cgdnet,2026,18,1050,100.0,87.43,87.9,84.95,12.57,2.48,2.95
cgdnet,2027,-20,1050,15.57,13.9,15.71,16.1,1.66,-2.19,-0.38
cgdnet,2027,-18,1050,16.42,13.9,15.05,16.76,2.51,-2.86,-1.71
cgdnet,2027,-16,1050,17.63,15.14,15.33,15.24,2.49,-0.1,0.1
cgdnet,2027,-14,1050,19.5,15.71,16.76,18.76,3.78,-3.05,-2.0
cgdnet,2027,-12,1050,22.64,19.14,20.19,23.43,3.5,-4.29,-3.24
cgdnet,2027,-10,1050,26.95,23.81,23.52,23.24,3.14,0.57,0.29
cgdnet,2027,-8,1050,33.58,28.29,29.52,30.0,5.29,-1.71,-0.48
cgdnet,2027,-6,1050,42.7,33.43,37.05,37.14,9.27,-3.71,-0.1
cgdnet,2027,-4,1050,52.48,44.38,43.81,42.95,8.1,1.43,0.86
cgdnet,2027,-2,1050,60.67,49.52,48.95,47.9,11.14,1.62,1.05
cgdnet,2027,0,1050,67.6,53.52,57.52,54.0,14.08,-0.48,3.52
cgdnet,2027,2,1050,76.17,59.43,61.43,59.62,16.74,-0.19,1.81
cgdnet,2027,4,1050,84.82,70.19,70.19,68.86,14.63,1.33,1.33
cgdnet,2027,6,1050,89.15,78.19,78.48,77.05,10.96,1.14,1.43
cgdnet,2027,8,1050,91.46,84.29,85.81,83.62,7.17,0.67,2.19
cgdnet,2027,10,1050,96.14,87.43,87.24,86.1,8.71,1.33,1.14
cgdnet,2027,12,1050,99.57,87.62,88.57,87.71,11.95,-0.1,0.86
cgdnet,2027,14,1050,99.86,88.38,89.24,88.67,11.48,-0.29,0.57
cgdnet,2027,16,1050,99.95,91.14,90.57,89.81,8.81,1.33,0.76
cgdnet,2027,18,1050,100.0,90.57,90.86,88.95,9.43,1.62,1.9
cgdnet,2028,-20,1050,15.57,13.52,15.81,15.05,2.04,-1.52,0.76
cgdnet,2028,-18,1050,16.42,12.76,14.48,15.62,3.66,-2.86,-1.14
cgdnet,2028,-16,1050,17.63,14.0,16.0,16.29,3.63,-2.29,-0.29
cgdnet,2028,-14,1050,19.5,15.81,18.1,17.52,3.69,-1.71,0.57
cgdnet,2028,-12,1050,22.64,16.48,20.67,21.14,6.16,-4.67,-0.48
cgdnet,2028,-10,1050,26.95,19.52,22.86,23.05,7.42,-3.52,-0.19
cgdnet,2028,-8,1050,33.58,25.33,30.38,30.95,8.25,-5.62,-0.57
cgdnet,2028,-6,1050,42.7,34.57,36.86,36.48,8.13,-1.9,0.38
cgdnet,2028,-4,1050,52.48,42.1,43.9,43.43,10.39,-1.33,0.48
cgdnet,2028,-2,1050,60.67,47.9,50.95,49.62,12.76,-1.71,1.33
cgdnet,2028,0,1050,67.6,54.48,56.95,55.33,13.13,-0.86,1.62
cgdnet,2028,2,1050,76.17,60.0,60.48,59.62,16.17,0.38,0.86
cgdnet,2028,4,1050,84.82,69.71,69.81,67.14,15.1,2.57,2.67
cgdnet,2028,6,1050,89.15,76.95,77.62,75.62,12.2,1.33,2.0
cgdnet,2028,8,1050,91.46,83.24,82.76,81.24,8.22,2.0,1.52
cgdnet,2028,10,1050,96.14,85.05,85.05,84.67,11.1,0.38,0.38
cgdnet,2028,12,1050,99.57,85.52,87.43,86.86,14.05,-1.33,0.57
cgdnet,2028,14,1050,99.86,88.19,87.52,87.43,11.67,0.76,0.1
cgdnet,2028,16,1050,99.95,88.67,89.62,88.19,11.29,0.48,1.43
cgdnet,2028,18,1050,100.0,88.48,89.33,88.48,11.52,0.0,0.86
